LGACODE,LABEL,YEAR,GIFTS/DONATIONS REPORTED BY TAXPAYERS_Persons,GIFTS/DONATIONS REPORTED BY TAXPAYERS_Median_Amount,METHOD OF TRAVEL TO WORK_Used one method - Train or tram,METHOD OF TRAVEL TO WORK_Used one method - Bus,METHOD OF TRAVEL TO WORK_Used one method - Car (as driver or passenger),METHOD OF TRAVEL TO WORK_Used one method - Motor bike/scooter,METHOD OF TRAVEL TO WORK_Used one method - Bicycle,METHOD OF TRAVEL TO WORK_Used one method - Other (inc. Taxis),METHOD OF TRAVEL TO WORK_Used one method - Walked only,METHOD OF TRAVEL TO WORK_Total used one method,METHOD OF TRAVEL TO WORK_Total used more than one method,METHOD OF TRAVEL TO WORK_Other - Worked from home,METHOD OF TRAVEL TO WORK_Other - Employed but did not go to work,METHOD OF TRAVEL TO WORK_Other - Method of travel not stated,METHOD OF TRAVEL TO WORK_Total employed,HOUSEHOLDS BY TYPE_Lone person households,HOUSEHOLDS BY TYPE_Group households,HOUSEHOLDS BY TYPE_Family households,HOUSEHOLDS BY TYPE_Total households,HOUSEHOLDS BY TYPE_Average Household Size,FAMILIES BY TYPE_Couple families with children under 15 and/or dependent students,FAMILIES BY TYPE_Couple families with non-dependent children only,FAMILIES BY TYPE_Couple families without children,"FAMILIES BY TYPE_One parent families, children under 15 &/or dependent students","FAMILIES BY TYPE_One parent families, non-dependent children only",FAMILIES BY TYPE_Other families,FAMILIES BY TYPE_Total families,FAMILIES BY TYPE_Average Family Size,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Married in a registered marriage,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Married in a de facto marriage,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Not married,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Married,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Never Married,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Widowed,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Divorced,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Separated,ACCESS TO INTERNET AT HOME_Internet accessed from dwelling,ACCESS TO INTERNET AT HOME_Internet not accessed from dwelling,ACCESS TO INTERNET AT HOME_Average monthly household rental payment,ACCESS TO INTERNET AT HOME_Average monthly household mortgage payment,UNPAID CHILD CARE _Persons who did not provide child care (%),UNPAID CHILD CARE _Persons who cared for own child/children ,UNPAID CHILD CARE _Persons who cared for other child/children ,UNPAID CHILD CARE _Persons who cared for own child/children and other child/children ,UNPAID WORK_Persons who provided unpaid assistance to a person with a disability ,UNPAID WORK_Persons undertaking voluntary work for an organisation or group,COUNT OF ALL CHILDREN IN FAMILY_Average number of all children in a family,HOUSING SUITABILITY_Dwellings with extra bedrooms needed,HOUSING SUITABILITY_Dwellings with bedrooms spare,HOUSING SUITABILITY_Dwellings with no bedrooms needed or spare,DWELLING STRUCTURE_Separate house ,"DWELLING STRUCTURE_Semi-detached, row or terrace house, townhouse etc. ",DWELLING STRUCTURE_Flat or apartment ,DWELLING STRUCTURE_Other dwelling ,TENURE TYPEOwned Outright,TENURE TYPEOwned with a mortgage,TENURE TYPERented,HOUSEHOLD STRESS_Households where mortgage repayments are less than 30% of household income,HOUSEHOLD STRESS_Households with mortgage repayments greater than or equal to 30% of household income,HOUSEHOLD STRESS_Households where rent payments are less than 30% of household income,HOUSEHOLD STRESS_Households with rent payments greater than or equal to 30% of household income,SEIFA_Australia SEIFA decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),SEIFA_Australia SEIFA decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),SEIFA_Australia SEIFA decile ranking - Index of Education and Occupation (IEO),SEIFA_Australia SEIFA decile ranking - Index of Economic Resources (IER),SEIFA_State SEIFA decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),SEIFA_State SEIFA decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),SEIFA_State SEIFA decile ranking - Index of Education and Occupation (IEO),SEIFA_State SEIFA decile ranking - Index of Economic Resources (IER),"Homelessness rate per 10,000 persons",Average commuting distance from Place of Usual Residence,Median commuting distance from Place of Usual Residence,Average commuting distance to place of work,Median commuting distance to place of work
10050,Albury (C),2011,"10,526",55,16,119,"17,170",153,278,153,797,"18,867",151,670,"2,404",342,"22,434","5,583",830,"12,204","18,617",2.4,"4,253",745,"4,936","1,608",608,177,"12,318",2.9,"15,975","3,361","14,791",46.1,34.8,6.6,9.2,3.3,,,903,"1,568",64.6,19.4,7.7,1,11.6,21,1.9,,,,"14,406","1,054","3,051",91,29.2,34.4,32.7,92.4,7.6,89.1,10.9,,,,,,,,,30.9,,,,
10050,Albury (C),2012,"9,743",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2013,"9,628",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2014,"9,694",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2015,"9,867",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2016,"9,906",85,20,126,"18,093",118,218,134,760,"19,601",194,723,"2,208",181,"22,907","6,020",801,"12,674","19,495",2.3,"4,354",799,"5,235","1,582",676,167,"12,829",2.9,"16,384","3,867","15,318",45.7,34.7,6.3,9.7,3.6,79.2,18,"1,049","1,535",63,19.3,7.6,0.9,12.1,22,1.9,357,"15,294","2,745","15,634","3,323",377,90,30.2,32.3,33.7,95.1,4.9,87.5,12.5,5,5,6,3,6,5,6,3,24.4,9.8,5.8,11.8,6.8
10130,Armidale Regional (A),2011,"4,844",105,6,93,"8,358",92,116,129,754,"9,730",119,853,"1,329",162,"12,193","2,906",464,"6,828","10,200",2.4,"2,344",417,"2,828",918,306,106,"6,913",3,"8,817","2,012","8,149",43.5,39.4,6.2,7.7,3.2,,,914,"1,527",66.5,17.4,6.9,1,11.5,27,1.9,,,,"8,621",518,986,72,35.3,27.2,33.8,93.9,6.1,87.5,12.5,,,,,,,,,67.5,,,,
10130,Armidale Regional (A),2012,"4,426",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2013,"4,331",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2014,"4,300",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2015,"4,402",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2016,"4,229",150,12,49,"8,706",102,117,129,663,"9,928",129,887,"1,254",129,"12,327","2,983",482,"6,803","10,276",2.4,"2,256",416,"2,867",853,389,126,"6,912",2.9,"8,637","2,143","8,355",42.9,40.3,6,7.8,3.2,78.8,18.5,"1,103","1,564",66.5,16.9,6.3,0.6,11.3,27,1.9,239,"7,795","1,607","8,689",915,532,50,34.4,26,36.1,95.9,4.1,86,14,6,7,9,3,6,7,8,3,87.3,10.7,3.5,12.4,3.9
10250,Ballina (A),2011,"9,346",76,10,96,"11,654",104,251,127,677,"13,178",130,"1,130","1,895",257,"16,590","4,260",557,"10,777","15,597",2.4,"3,307",671,"4,915","1,313",619,125,"10,954",2.8,"14,575","2,787","11,716",49.8,27.9,8.1,10.9,3.2,,,"1,225","1,845",66.5,18.4,7.5,1,13.2,22.6,1.8,,,,"11,095","1,996","1,994",500,40.2,26.7,29.2,91.5,8.5,86.8,13.2,,,,,,,,,36,,,,
10250,Ballina (A),2012,"8,141",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2013,"7,762",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2014,"7,865",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2015,"7,836",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina (A),2016,"7,768",120,17,97,"12,739",108,213,126,548,"14,043",171,"1,302","1,737",210,"17,463","4,594",555,"11,067","16,220",2.3,"3,321",764,"5,187","1,225",662,138,"11,297",2.8,"14,835","3,289","12,367",48.9,28.8,7.9,11,3.4,80.3,16.7,"1,476","1,809",64.8,17.6,7.3,0.7,12.8,22.9,1.8,303,"12,692","2,245","11,223","3,615",799,480,41,26.5,28,93.8,6.2,87.1,12.9,8,8,8,7,8,8,8,7,18.4,16.1,11.3,14.9,8.5
10300,Balranald (A),2011,212,78,,8,624,5,13,11,96,770,14,117,98,29,"1,028",223,13,592,828,2.4,192,57,249,56,24,8,591,3,826,172,552,51.8,30.5,6.9,7.3,3.9,,,518,"1,061",62.8,19,6.4,0.9,11.8,28.4,2,,,,766,22,25,14,39.9,26.4,29.2,94.9,5.1,92.7,7.3,,,,,,,,,,,,,
10300,Balranald (A),2012,190,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2014,176,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2015,205,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2016,210,100,,3,649,5,6,15,104,795,5,97,69,16,982,224,16,563,807,2.5,190,42,248,54,32,13,570,3.1,752,191,588,49.8,33.8,6.3,7.3,2.8,67.2,28.1,586,"1,019",58.7,18,7.6,0.6,11.1,30.8,2.1,29,579,131,734,18,34,21,41.4,24.6,29.7,97.7,2.3,93.4,6.6,3,3,2,4,3,3,1,4,12,35.6,3.4,31.7,1.4
10470,Bathurst Regional (A),2011,"8,585",70,12,75,"12,928",91,98,133,829,"14,417",129,769,"1,952",264,"17,531","3,546",553,"9,549","13,657",2.5,"3,477",645,"3,794","1,193",433,148,"9,693",3,"12,599","2,821","10,619",46.1,36.7,5.5,8.3,3.3,,,960,"1,731",61.5,20,8.3,1.2,11.3,20.3,1.9,,,,"11,662","1,000",901,57,32.7,34.4,29.7,92.2,7.8,90.5,9.5,,,,,,,,,33.4,,,,
10470,Bathurst Regional (A),2012,"8,043",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2013,"8,378",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2014,"8,382",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2015,"8,359",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2016,"8,267",95,20,51,"13,793",61,85,124,685,"15,035",139,838,"1,945",208,"18,165","3,884",592,"9,934","14,411",2.5,"3,583",727,"3,885","1,276",531,131,"10,136",3,"12,853","3,130","11,584",45,37.3,5.6,8.7,3.5,79.2,18,"1,177","1,752",59.4,19.7,8.4,0.9,11.8,20.7,1.9,303,"11,262","1,994","12,166","1,464",595,49,32.5,33.7,30.7,94.3,5.7,88.5,11.5,6,7,7,6,7,7,7,7,38.3,15.4,5,14.1,5
10500,Bayside (A),2011,"28,318",121,"8,906","3,475","35,289",375,397,505,"2,308","51,848","4,092","1,482","4,881","1,050","63,353","11,660","2,183","34,685","48,531",2.6,"13,357","3,691","12,375","3,282","2,573",939,"36,221",3,"51,130","6,570","45,366",49.9,33.1,6,7.9,3.1,,,"1,552","2,436",66.4,18.6,5.9,0.5,10.7,10.4,1.8,,,,"22,583","6,445","19,062",347,32.7,30.6,33.2,87.9,12.1,85.7,14.3,,,,,,,,,54.2,,,,
10500,Bayside (A),2012,"27,550",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2013,"27,980",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2014,"28,833",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2015,"30,344",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2016,"30,187",150,"14,156","3,675","38,941",535,464,610,"2,620","61,538","5,844","2,137","5,490",779,"75,788","12,500","3,388","38,487","54,375",2.7,"14,926","3,670","14,437","3,299","2,856","1,061","40,266",3,"54,574","10,015","53,869",48.1,36.3,5.1,7.7,2.9,82.2,14.6,"2,037","2,394",67.6,18.5,5.2,0.4,10.7,11.9,1.7,"5,671","28,833","16,423","21,538","7,629","24,528",453,28.7,28.8,38.8,91.5,8.5,82.8,17.2,7,9,9,4,8,8,8,4,59.1,,,,
10550,Bega Valley (A),2011,"4,753",90,3,84,"8,772",82,58,131,737,"10,117",110,"1,029","1,582",203,"13,041","3,465",337,"8,876","12,675",2.3,"2,525",526,"4,520","1,002",336,71,"8,981",2.8,"11,955","2,752","8,501",51.3,27.3,7.4,10.5,3.4,,,881,"1,496",67.6,16.9,6.8,1,12.9,26.3,1.9,,,,"10,504",868,"1,043",242,44.3,28.3,23.8,92.1,7.9,90.8,9.2,,,,,,,,,32.5,,,,
10550,Bega Valley (A),2012,"4,407",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2013,"4,335",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2014,"4,405",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2015,"4,308",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2016,"4,073",120,12,54,"9,099",65,56,116,644,"10,219",103,973,"1,681",177,"13,153","4,018",323,"8,873","13,222",2.2,"2,328",559,"4,733",858,423,81,"8,991",2.7,"11,604","3,189","8,942",49.3,27.9,7.2,11.8,3.8,78.2,18.5,"1,081","1,472",66.8,15.4,7.1,0.7,12.6,25.9,1.8,281,"10,320","1,813","10,934","1,333",547,270,45.5,27.5,22.7,94.2,5.8,90.8,9.2,6,5,6,5,6,5,6,5,34.5,17.9,7.9,15.2,7.6
10600,Bellingen (A),2011,"2,106",90,3,18,"3,045",42,39,37,302,"3,589",44,541,542,62,"4,778","1,381",166,"3,462","5,009",2.4,"1,037",188,"1,584",526,177,26,"3,527",2.8,"4,243","1,170","3,707",46.1,30,6.9,13.2,3.8,,,972,"1,505",65.5,19.3,7.8,1.6,13.7,28.6,1.8,,,,"4,492",100,215,194,44.6,26.2,25.7,92,8,88.1,11.9,,,,,,,,,35.4,,,,
10600,Bellingen (A),2012,"1,736",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2013,"1,786",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2014,"1,820",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2015,"1,845",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2016,"1,826",140,3,10,"3,234",30,26,40,252,"3,658",43,516,593,80,"4,890","1,440",163,"3,370","4,970",2.3,956,217,"1,592",451,209,28,"3,446",2.8,"4,053","1,313","3,808",44.9,30.8,7,13.4,3.8,78.9,18.3,"1,185","1,510",64.1,17.8,7.7,1.1,13.6,27.3,1.8,144,"3,682",833,"4,466",237,136,85,45.5,26.4,24.6,94.1,5.9,89.2,10.8,5,5,8,5,5,5,8,4,42.5,17.7,14.2,13.3,7.3
10650,Berrigan (A),2011,"1,381",65,4,13,"2,171",26,26,34,246,"2,584",33,363,370,62,"3,412","1,028",54,"2,165","3,246",2.2,619,121,"1,145",201,64,28,"2,188",2.8,"3,152",507,"2,131",54,24,8.6,9.6,3.8,,,620,"1,296",66.3,16.6,7.1,0.7,12.3,29.5,2,,,,"2,855",146,160,79,44.2,27.9,23.1,92.9,7.1,94.3,5.7,,,,,,,,,23,,,,
10650,Berrigan (A),2012,"1,362",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2013,"1,358",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2014,"1,464",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2015,"1,454",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2016,"1,389",100,3,8,"2,192",13,25,40,209,"2,553",8,324,338,59,"3,282","1,075",84,"2,103","3,265",2.2,590,133,"1,104",209,82,16,"2,123",2.8,"2,986",574,"2,220",52.4,25.2,8.9,9.8,3.7,73.1,22.8,759,"1,301",64.6,15,6.7,0.7,11.9,28.3,1.9,65,"2,632",363,"2,904",107,121,120,44.2,26.3,24.4,95.9,4.1,93.9,6.1,4,4,4,4,4,3,4,3,13.2,15.9,5.7,15,4.4
10750,Blacktown (C),2011,"61,095",100,"11,554","3,303","88,770",594,342,799,"1,820","108,900","9,253","2,786","10,597","2,254","133,790","15,099","2,091","76,471","93,656",3.1,"35,131","7,955","20,467","10,314","5,340","1,248","80,467",3.3,"111,915","13,178","90,250",51.7,33.4,4.6,6.9,3.4,,,"1,231","2,168",61.8,23.6,6.6,0.8,10.7,11.6,1.9,,,,"77,675","10,725","4,808",389,23.2,43.6,30.1,85.2,14.8,89.2,10.8,,,,,,,,,46.7,,,,
10750,Blacktown (C),2012,"58,650",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2013,"60,368",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2014,"62,457",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2015,"65,389",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2016,"67,650",130,"13,986","5,325","99,592",614,291,936,"1,717","123,947","11,345","3,843","10,743","1,590","151,468","15,362","2,369","83,375","101,107",3.2,"40,032","9,098","21,958","10,022","5,958","1,455","88,519",3.3,"123,882","15,921","100,980",52.3,33.4,4.4,6.6,3.3,84.8,12.3,"1,588","2,204",62,23.8,6.6,0.7,11.2,14,1.9,"6,866","68,485","19,531","78,774","16,286","5,246",453,22.5,41.9,32.2,89.6,10.4,87.9,12.1,6,8,6,8,7,8,7,8,45.7,18.5,15.5,16.5,11.9
10800,Bland (A),2011,923,80,,57,"1,499",7,20,57,202,"1,912",37,432,263,51,"2,695",645,48,"1,569","2,262",2.4,564,93,730,132,58,13,"1,582",3,"2,305",381,"1,426",54.5,26.7,8.7,7.3,2.8,,,583,"1,231",64.3,20.2,7.8,0.9,12.1,31.3,2.1,,,,"2,127",16,85,29,47.1,26.7,21.8,95.2,4.8,96.6,3.4,,,,,,,,,11.9,,,,
10800,Bland (A),2012,860,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2013,829,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2014,878,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2015,866,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2016,862,145,3,61,"1,506",4,12,52,154,"1,837",25,388,238,53,"2,541",664,25,"1,486","2,185",2.4,470,87,687,156,81,20,"1,494",2.9,"2,089",347,"1,470",53.8,27.5,8.5,6.9,3.2,69.5,25.7,641,"1,181",59,17.9,7.9,0.8,12.3,30.9,2.1,39,"1,735",230,"2,066",9,56,13,46.4,25.8,22.5,97.1,2.9,96.7,3.3,5,5,5,7,6,5,5,7,5,20.5,2.5,26.2,3.4
10850,Blayney (A),2011,"1,454",80,,9,"2,132",14,,19,107,"2,363",34,309,354,53,"3,113",679,40,"1,833","2,550",2.5,667,134,745,175,103,25,"1,854",3,"2,606",408,"1,824",52.6,28.8,6.6,8.5,3.6,,,750,"1,639",62.2,21.7,7,1,11.6,22.9,2,,,,"2,416",53,58,21,37.9,35.9,23,92.5,7.5,95.5,4.5,,,,,,,,,40.8,,,,
10850,Blayney (A),2012,"1,396",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2013,"1,345",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2014,"1,364",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2015,"1,324",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2016,"1,294",100,4,14,"2,279",18,3,21,137,"2,536",17,296,333,40,"3,222",709,46,"1,905","2,656",2.5,664,140,800,192,101,22,"1,926",3,"2,566",564,"1,900",50.5,30,6.2,9.7,3.7,75.3,20.5,936,"1,656",59.9,21.1,8.1,0.9,12.6,24.2,2,47,"2,125",315,"2,507",34,52,23,37.5,34.7,22.7,94.7,5.3,92.7,7.3,6,6,5,8,7,6,5,8,24,23.7,22.2,24.9,22.2
10900,Blue Mountains (C),2011,"19,349",120,"2,683",108,"22,232",160,127,222,913,"26,838","1,501","2,228","4,598",445,"35,610","7,183",798,"20,048","28,031",2.5,"7,591","1,637","7,810","2,143","1,037",181,"20,386",3,"28,066","5,223","21,463",50.1,30.9,5.7,10.2,3,,,"1,208","1,932",62.6,20.5,8.8,1.5,12.9,23.4,1.9,,,,"25,974","1,421",573,46,37.4,40.6,19.2,89.5,10.5,91.6,8.4,,,,,,,,,31.7,,,,
10900,Blue Mountains (C),2012,"18,147",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2013,"17,854",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2014,"18,184",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2015,"18,375",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2016,"17,775",150,"2,816",127,"22,932",179,120,235,916,"27,693","1,470","2,440","4,021",236,"35,860","7,386",854,"20,389","28,630",2.5,"7,387","1,762","8,250","2,015","1,175",221,"20,798",3,"27,826","6,164","22,320",49.1,31.8,5.4,10.5,3.1,87.6,10.5,"1,495","1,928",63.8,20.1,9,1.1,13.9,25.3,1.8,474,"22,705","3,906","26,482","1,401",588,51,39.2,39.5,18.4,92.6,7.4,91.6,8.4,9,9,9,9,9,9,9,9,22.3,29.1,19.9,14,6.2
10950,Bogan (A),2011,407,88,,65,679,11,7,7,127,929,18,152,112,37,"1,248",315,18,714,"1,049",2.5,272,50,276,84,48,11,731,3.1,957,184,746,50.2,30.5,8.7,7.3,3.4,,,612,"1,202",59.7,20.9,7.3,1,9.1,23.8,2,,,,972,24,30,20,40.7,22.8,31.4,96.7,3.3,95,5,,,,,,,,,13.3,,,,
10950,Bogan (A),2012,437,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2013,421,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2014,458,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2015,436,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2016,412,100,,52,726,7,10,5,98,923,11,130,86,23,"1,173",296,19,654,967,2.4,217,48,282,73,40,10,662,3,834,226,696,46.4,34.7,8.5,6.4,4,66.8,28.7,669,"1,186",61.5,17.5,6.4,0.4,9.5,24.1,2,21,741,118,883,30,28,14,40.5,22.5,31.7,97.3,2.7,94.3,5.7,4,4,5,4,3,4,4,4,,31.6,1.9,37.8,2.3
